SECID,TRADEDATE,OPEN,LOW,HIGH,CLOSE,VOLUME
MXM6,2026-04-22 19:54:00,280125.0,280075.0,280125.0,280075.0,14.0
MXM6,2026-04-22 19:55:00,280100.0,280100.0,280100.0,280100.0,2.0
MXM6,2026-04-22 19:56:00,280125.0,280100.0,280125.0,280100.0,8.0
MXM6,2026-04-22 19:57:00,280100.0,280100.0,280175.0,280175.0,25.0
MXM6,2026-04-22 19:58:00,280175.0,280175.0,280200.0,280175.0,20.0
MXM6,2026-04-22 19:59:00,280175.0,280125.0,280200.0,280200.0,26.0
MXM6,2026-04-22 20:00:00,280125.0,280125.0,280250.0,280250.0,138.0
MXM6,2026-04-22 20:01:00,280225.0,280125.0,280250.0,280125.0,19.0
MXM6,2026-04-22 20:02:00,280175.0,280100.0,280175.0,280100.0,45.0
MXM6,2026-04-22 20:03:00,280100.0,280100.0,280175.0,280100.0,24.0
MXM6,2026-04-22 20:04:00,280125.0,280000.0,280125.0,280000.0,98.0
MXM6,2026-04-22 20:05:00,280000.0,279950.0,280100.0,280100.0,81.0
MXM6,2026-04-22 20:06:00,280100.0,280025.0,280100.0,280075.0,18.0
MXM6,2026-04-22 20:07:00,280050.0,280000.0,280050.0,280050.0,25.0
MXM6,2026-04-22 20:08:00,280075.0,280075.0,280100.0,280100.0,3.0
MXM6,2026-04-22 20:09:00,280125.0,280100.0,280125.0,280100.0,11.0
MXM6,2026-04-22 20:10:00,280100.0,280050.0,280100.0,280075.0,25.0
MXM6,2026-04-22 20:11:00,280025.0,280000.0,280075.0,280075.0,18.0
MXM6,2026-04-22 20:12:00,280025.0,280000.0,280025.0,280025.0,9.0
MXM6,2026-04-22 20:13:00,280050.0,280025.0,280050.0,280025.0,5.0
MXM6,2026-04-22 20:14:00,280100.0,280050.0,280100.0,280050.0,17.0
MXM6,2026-04-22 20:15:00,280050.0,280050.0,280050.0,280050.0,1.0
MXM6,2026-04-22 20:17:00,280075.0,280050.0,280075.0,280050.0,7.0
MXM6,2026-04-22 20:18:00,280050.0,280050.0,280075.0,280075.0,7.0
MXM6,2026-04-22 20:19:00,280075.0,280075.0,280075.0,280075.0,7.0
MXM6,2026-04-22 20:20:00,280100.0,280100.0,280100.0,280100.0,1.0
MXM6,2026-04-22 20:21:00,280100.0,280075.0,280125.0,280075.0,33.0
MXM6,2026-04-22 20:22:00,280075.0,280075.0,280075.0,280075.0,7.0
MXM6,2026-04-22 20:23:00,280100.0,280100.0,280100.0,280100.0,2.0
MXM6,2026-04-22 20:24:00,280075.0,280050.0,280100.0,280050.0,31.0
